issue_code,image_id,severity,message,status
BLURRY,image_0001.jpg,medium,LaplacianVar=10.3 < 100.0,open
BLURRY,image_0002.jpg,medium,LaplacianVar=10.0 < 100.0,open
DUPLICATE,image_0002.jpg,medium,Duplicate of image_0001.jpg (pHash=86d919e626d6d931),open
BLURRY,image_0003.jpg,medium,LaplacianVar=7.8 < 100.0,open
BLURRY,image_0004.jpg,medium,LaplacianVar=9.7 < 100.0,open
BLURRY,image_0005.jpg,medium,LaplacianVar=8.4 < 100.0,open
BLURRY,image_0006.jpg,medium,LaplacianVar=9.5 < 100.0,open
BLURRY,image_0007.jpg,medium,LaplacianVar=10.1 < 100.0,open
BLURRY,image_0008.jpg,medium,LaplacianVar=9.5 < 100.0,open
BLURRY,image_0009.jpg,medium,LaplacianVar=10.0 < 100.0,open
BLURRY,image_0010.jpg,medium,LaplacianVar=10.4 < 100.0,open
DUPLICATE,image_0010.jpg,medium,Duplicate of image_0009.jpg (pHash=86d978c63f9c7822),open
BLURRY,image_0011.jpg,medium,LaplacianVar=9.6 < 100.0,open
DUPLICATE,image_0011.jpg,medium,Duplicate of image_0009.jpg (pHash=86d978c63f9c7822),open
BLURRY,image_0012.jpg,medium,LaplacianVar=9.6 < 100.0,open
DUPLICATE,image_0012.jpg,medium,Duplicate of image_0009.jpg (pHash=86d978c63f9c7822),open
BLURRY,image_0013.jpg,medium,LaplacianVar=9.6 < 100.0,open
BLURRY,image_0014.jpg,medium,LaplacianVar=9.5 < 100.0,open
DUPLICATE,image_0014.jpg,medium,Duplicate of image_0013.jpg (pHash=86d978c63e9c7823),open
BLURRY,image_0015.jpg,medium,LaplacianVar=9.5 < 100.0,open
DUPLICATE,image_0015.jpg,medium,Duplicate of image_0013.jpg (pHash=86d978c63e9c7823),open
BLURRY,image_0016.jpg,medium,LaplacianVar=9.6 < 100.0,open
BLURRY,image_0017.jpg,medium,LaplacianVar=9.6 < 100.0,open
DUPLICATE,image_0017.jpg,medium,Duplicate of image_0016.jpg (pHash=86d979c63e9c7023),open
BLURRY,image_0018.jpg,medium,LaplacianVar=9.6 < 100.0,open
BLURRY,image_0019.jpg,medium,LaplacianVar=9.6 < 100.0,open
DUPLICATE,image_0019.jpg,medium,Duplicate of image_0018.jpg (pHash=86d979c63e987027),open
BLURRY,image_0020.jpg,medium,LaplacianVar=6.8 < 100.0,open
BLURRY,image_0021.jpg,medium,LaplacianVar=7.3 < 100.0,open
BLURRY,image_0022.jpg,medium,LaplacianVar=6.9 < 100.0,open
BLURRY,image_0023.jpg,medium,LaplacianVar=7.2 < 100.0,open
